k,hfa,regression,margin_cap,games,log_loss,accuracy
20.0,55.0,0.55,28.0,17622,0.5351,0.7385
20.0,65.0,0.55,28.0,17622,0.5353,0.735
20.0,85.0,0.55,999.0,17622,0.5358,0.7264
20.0,75.0,0.55,28.0,17622,0.5362,0.731
20.0,85.0,0.55,35.0,17622,0.5366,0.7266
20.0,55.0,0.55,21.0,17622,0.5371,0.7366
20.0,65.0,0.55,21.0,17622,0.5374,0.7341
20.0,85.0,0.55,28.0,17622,0.5377,0.7261
20.0,75.0,0.55,21.0,17622,0.5382,0.7295
20.0,85.0,0.55,21.0,17622,0.5397,0.724
