season,team,games,wins,losses,win_pct,pts_for,pts_against,pt_diff,td_allowed,xpa_allowed,xpm_allowed,fga_allowed,fgm_allowed,safeties_allowed,td_allowed_pg,pts_allowed_pg
2009,Tulane,12,3,9,0.25,193.0,440.0,-247.0,57.0,54.0,49.0,21.0,15.0,0.0,4.75,36.67
2009,Washington State,12,1,11,0.083,144.0,462.0,-318.0,60.0,57.0,54.0,17.0,14.0,1.0,5.0,38.5
2009,Western Kentucky,12,0,12,0.0,245.0,475.0,-230.0,63.0,62.0,59.0,17.0,12.0,1.0,5.25,39.58
2010,Duke,12,3,9,0.25,303.0,425.0,-122.0,56.0,50.0,50.0,14.0,11.0,0.0,4.67,35.42
2010,East Carolina,13,6,7,0.462,478.0,572.0,-94.0,76.0,73.0,71.0,20.0,15.0,0.0,5.85,44.0
2010,Eastern Michigan,12,2,10,0.167,228.0,527.0,-299.0,71.0,70.0,66.0,13.0,11.0,0.0,5.92,43.92
2010,Memphis,12,1,11,0.083,173.0,478.0,-305.0,63.0,63.0,61.0,20.0,13.0,0.0,5.25,39.83
2010,Michigan,13,7,6,0.538,426.0,458.0,-32.0,57.0,54.0,54.0,22.0,20.0,0.0,4.38,35.23
2010,Nevada-Las Vegas,13,2,11,0.154,239.0,516.0,-277.0,67.0,67.0,63.0,19.0,17.0,0.0,5.15,39.69
2010,New Mexico,12,1,11,0.083,190.0,532.0,-342.0,69.0,69.0,67.0,23.0,17.0,0.0,5.75,44.33
2010,New Mexico State,12,2,10,0.167,188.0,464.0,-276.0,61.0,61.0,61.0,22.0,15.0,1.0,5.08,38.67
2010,Rice,12,4,8,0.333,344.0,462.0,-118.0,60.0,59.0,56.0,19.0,14.0,1.0,5.0,38.5
2010,San Jose State,13,1,12,0.077,209.0,451.0,-242.0,56.0,54.0,53.0,24.0,20.0,1.0,4.31,34.69
2010,Tulane,12,4,8,0.333,299.0,446.0,-147.0,58.0,57.0,57.0,17.0,13.0,1.0,4.83,37.17
2010,Wake Forest,12,3,9,0.25,273.0,430.0,-157.0,55.0,54.0,50.0,20.0,16.0,0.0,4.58,35.83
2010,Washington State,12,2,10,0.167,235.0,430.0,-195.0,58.0,54.0,52.0,12.0,8.0,0.0,4.83,35.83
2011,Akron,12,1,11,0.083,170.0,466.0,-296.0,59.0,59.0,55.0,21.0,17.0,1.0,4.92,38.83
2011,Baylor,13,10,3,0.769,589.0,484.0,105.0,64.0,58.0,55.0,19.0,13.0,0.0,4.92,37.23
2011,Colorado,13,3,10,0.231,257.0,475.0,-218.0,63.0,59.0,56.0,19.0,13.0,0.0,4.85,36.54
2011,Fresno State,13,4,9,0.308,371.0,457.0,-86.0,60.0,56.0,49.0,21.0,14.0,0.0,4.62,35.15
2011,Indiana,12,1,11,0.083,257.0,448.0,-191.0,55.0,53.0,53.0,22.0,21.0,0.0,4.58,37.33
2011,Kansas,12,2,10,0.167,268.0,525.0,-257.0,68.0,67.0,66.0,18.0,15.0,2.0,5.67,43.75
2011,Memphis,12,2,10,0.167,195.0,421.0,-226.0,55.0,50.0,50.0,20.0,13.0,0.0,4.58,35.08
2011,Middle Tennessee State,12,2,10,0.167,267.0,441.0,-174.0,59.0,57.0,56.0,13.0,9.0,1.0,4.92,36.75
2011,Nevada-Las Vegas,12,2,10,0.167,217.0,481.0,-264.0,64.0,59.0,56.0,19.0,13.0,0.0,5.33,40.08
