game_id,season,week,game_type,gameday,home_team,away_team,num_snapshots,first_seen,last_seen,open_novig_home,close_novig_home,novig_move_home,open_spread_home,close_spread_home,spread_move,open_total,close_total,total_move,captured,has_spread_points
2025_12_BUF_HOU,2025,12,REG,2025-11-20,HOU,BUF,33.0,2025-11-11 20:20:05,2025-11-20 13:26:04,0.44244914617518016,0.29867541575098216,-0.143773730424198,,,,,,,True,False
2025_12_NYJ_BAL,2025,12,REG,2025-11-23,BAL,NYJ,44.0,2025-11-11 20:20:05,2025-11-23 07:31:05,0.8951781970649896,0.88887393622992,-0.0063042608350696305,,,,,,,True,False
2025_12_PIT_CHI,2025,12,REG,2025-11-23,CHI,PIT,44.0,2025-11-11 20:20:05,2025-11-23 07:31:05,0.534722974471663,0.5690546457146523,0.0343316712429893,,,,,,,True,False
2025_12_NE_CIN,2025,12,REG,2025-11-23,CIN,NE,44.0,2025-11-11 20:20:05,2025-11-23 07:31:05,0.31485407551084843,0.23517956244083768,-0.07967451307001075,,,,,,,True,False
2025_12_NYG_DET,2025,12,REG,2025-11-23,DET,NYG,44.0,2025-11-11 20:20:05,2025-11-23 07:31:05,0.8306665709980627,0.8670521310573899,0.03638556005932714,,,,,,,True,False
2025_12_MIN_GB,2025,12,REG,2025-11-23,GB,MIN,44.0,2025-11-11 20:20:05,2025-11-23 07:31:05,0.7047348299186355,0.7094013019255191,0.004666472006883637,,,,,,,True,False
2025_12_IND_KC,2025,12,REG,2025-11-23,KC,IND,44.0,2025-11-11 20:20:05,2025-11-23 07:31:05,0.6656614322797999,0.6286266694391148,-0.037034762840685076,,,,,,,True,False
2025_12_SEA_TEN,2025,12,REG,2025-11-23,TEN,SEA,44.0,2025-11-11 20:20:05,2025-11-23 07:31:05,0.15251720880010797,0.13295406130172177,-0.019563147498386196,,,,,,,True,False
2025_12_JAX_ARI,2025,12,REG,2025-11-23,ARI,JAX,45.0,2025-11-11 20:20:05,2025-11-23 13:23:08,0.3567818673745469,0.4542607435541414,0.0974788761795945,,,,,,,True,False
2025_12_CLE_LV,2025,12,REG,2025-11-23,LV,CLE,45.0,2025-11-11 20:20:05,2025-11-23 13:23:08,0.537660358186206,0.6135816116367734,0.07592125345056733,,,,,,,True,False
2025_12_PHI_DAL,2025,12,REG,2025-11-23,DAL,PHI,45.0,2025-11-11 20:20:05,2025-11-23 13:23:08,0.34929577464788736,0.40810230527271946,0.0588065306248321,,,,,,,True,False
2025_12_ATL_NO,2025,12,REG,2025-11-23,NO,ATL,45.0,2025-11-11 20:20:05,2025-11-23 13:23:08,0.37661050545094155,0.496298427291339,0.11968792184039745,,,,,,,True,False
2025_12_TB_LA,2025,12,REG,2025-11-23,LA,TB,45.0,2025-11-11 20:20:05,2025-11-23 13:23:08,0.7093551316984559,0.7529130138954943,0.04355788219703838,,,,,,,True,False
2025_12_CAR_SF,2025,12,REG,2025-11-24,SF,CAR,49.0,2025-11-11 20:20:05,2025-11-24 13:26:57,0.7314578005115089,0.7657442896698122,0.034286489158303346,,,,,,,True,False
2025_13_GB_DET,2025,13,REG,2025-11-27,DET,GB,34.0,2025-11-18 20:19:34,2025-11-27 07:37:47,0.5874626474563525,0.5890926265062005,0.0016299790498480737,,,,,,,True,False
2025_13_KC_DAL,2025,13,REG,2025-11-27,DAL,KC,35.0,2025-11-18 20:19:34,2025-11-27 13:24:22,0.3705853462517301,0.3680398489282277,-0.002545497323502399,,,,,,,True,False
2025_13_CIN_BAL,2025,13,REG,2025-11-27,BAL,CIN,36.0,2025-11-18 20:19:34,2025-11-27 20:18:29,0.8319668760885556,0.7718923268031895,-0.06007454928536604,,,,,,,True,False
2025_13_CHI_PHI,2025,13,REG,2025-11-28,PHI,CHI,39.0,2025-11-18 20:19:34,2025-11-28 13:24:52,0.7490174446666207,0.751456317946863,0.002438873280242282,,,,,,,True,False
2025_13_LA_CAR,2025,13,REG,2025-11-30,CAR,LA,40.0,2025-11-18 20:19:34,2025-11-28 20:18:39,0.20382197073829067,0.1770862739069061,-0.026735696831384576,,,,,,,True,False
