retro_id,mlbam_id,bbref_id,name_first,name_last
alony001,475174,alonsyo01,Yonder,Alonso
alouf101,110186,aloufe01,Felipe,Alou
alouj101,110187,alouje01,Jesús,Alou
aloum001,110189,aloumo01,Moisés,Alou
aloum101,110188,alouma01,Matty,Alou
alpew101,110190,alperwh01,Whitey,Alpermann
alstd101,110194,alstode01,Dell,Alston
alstd901,,,Dave,Alston
alstg001,110191,alstoga01,Garvin,Alston
alstt101,110192,alstoto01,Tom,Alston
alstw101,110193,alstowa01,Walter,Alston
altad001,656186,altavda01,Dan,Altavilla
altap001,110195,altampo01,Porfi,Altamirano
altee101,110196,altener01,Ernie,Alten
altej101,110197,altenje01,Jesse,Altenburg
altha001,571437,altheaa01,Aaron,Altherr
altid101,110198,altizda01,Dave,Altizer
altmb701,434138,,Billy,Altman
altmg101,110199,altmage01,George,Altman
altoj101,110200,altobjo01,Joe,Altobelli
altrn101,110201,altroni01,Nick,Altrock
altuj001,514888,altuvjo01,José,Altuve
alu-j001,666906,aluja01,Jake,Alu
alusg101,110202,alusige01,George,Alusik
alvaa001,433877,alvarab01,Abe,Alvarez
alvaa002,669137,alvarar01,Armando,Alvarez
alvaa003,674841,alvaran01,Andrew,Alvarez
alvac001,345593,alvarcl01,Clemente,Álvarez
alvad001,516714,alvarda01,Dario,Álvarez
alvad002,645848,alvarda02,Dariel,Álvarez
alvae001,657193,alvared01,Eddy,Alvarez
alvae002,665660,alvarel01,Elvis,Alvarado
alvaf001,682626,alvarfr01,Francisco,Álvarez
alvag001,134080,alvarga01,Gabe,Alvarez
alvah001,506693,alvarhe01,Henderson,Álvarez
alvaj001,110206,alvarjo01,José,Álvarez
alvaj002,235094,alvarju01,Juan,Alvarez
alvaj003,501625,alvarjo02,José,Álvarez
alvaj004,621237,alvarjo03,José,Alvarado
alval101,110203,alvarlu01,Luis,Alvarado
alvan001,805373,alvarna01,Nacho,Alvarez
alvao101,110207,alvaros01,Ossie,Álvarez
alvao102,110205,alvaror01,Orlando,Álvarez
alvap001,476883,alvarpe01,Pedro,Álvarez
alvar001,571439,alvarrj01,R. J.,Alvarez
alvar101,110208,alvarro01,Rogelio,Álvarez
alvar102,820721,alvarra01,Raúl,Álvarez
alvat001,110204,alvarta01,Tavo,Álvarez
alvat002,407887,alvarto01,Tony,Alvarez
alvav001,407874,alvarvi01,Victor,Álvarez
alvaw001,110209,alvarwi01,Wilson,Álvarez
alvay001,670541,alvaryo01,Yordan,Álvarez
alvej701,493737,,Jay,Alves
alvim101,110210,alvisma01,Max,Alvis
alvob101,110211,alvorbi01,Billy,Alvord
alyeb101,110212,alyeabr01,Brant,Alyea
alzoa001,640470,alzolad01,Adbert,Alzolay
amada001,691182,amadoad01,Adael,Amador
amalj101,110213,amalfjo01,Joey,Amalfitano
amara001,506560,amarial01,Alexi,Amarista
amarr001,110214,amarari01,Rich,Amaral
amarr002,110215,amaroru02,Rubén,Amaro
amarr101,110216,amaroru01,Rubén,Amaro
amayj001,676070,amayaja01,Jacob,Amaya
amaym001,665804,amayami01,Miguel,Amaya
amblw101,110217,amblewa01,Wayne,Ambler
ambrc001,407876,ambrech01,Chip,Ambres
ambrh001,459932,ambrihe01,Héctor,Ambriz
ambut001,664011,amburtr01,Trey,Amburgey
amele001,110218,amelued01,Ed,Amelung
amesr101,110219,amesre01,Red,Ames
amess001,571441,amesst01,Steve,Ames
ameza001,407792,amezaal01,Alfredo,Amézaga
amict801,,,Trevor,Amicone
amold101,110220,amoledo01,Doc,Amole
amors101,110222,amorosa01,Sandy,Amorós
amorv101,110221,amorvi01,Vicente,Amor
anckw101,110223,anckewa01,Walter,Ancker
andea001,110226,anderal02,Allan,Anderson
andea101,110227,anderan01,Andy,Anderson
andea102,110225,anderal01,Alf,Anderson
andea901,,,Andy,Anderson
andeb001,110229,anderbr01,Brady,Anderson
andeb002,110230,anderbr02,Brian,Anderson
andeb003,435042,anderbr03,Brian,Anderson
andeb004,474463,anderbr04,Brett,Anderson
andeb005,457762,anderbr05,Bryan,Anderson
andeb006,605119,anderbr06,Brian,Anderson
andeb101,110245,anderbu01,Bud,Anderson
andeb102,110253,anderbo01,Bob,Anderson
andeb103,110257,anderbi01,Bill,Anderson
andeb104,820710,anderbo02,Bobby,Anderson
andeb105,820711,anderbu02,Bubbles,Anderson
andeb106,820716,anderbi03,Bill,Anderson
andeb107,820717,anderbi02,Bill,Anderson
andec001,502624,anderch01,Chase,Anderson
andec002,594736,anderco01,Cody,Anderson
andec101,110250,andercr01,Craig,Anderson
andec102,820712,anderc02,C.,Anderson
anded001,110231,anderda02,Dave,Anderson
anded002,449776,anderdr01,Drew,Anderson
anded003,623454,anderdr02,Drew,Anderson
anded101,110233,anderdw01,Dwain,Anderson
anded102,110232,anderda01,Dave,Anderson
andef101,110243,anderfr01,Fred,Anderson
andef102,110235,anderfe01,Ferrell,Anderson
andef103,820709,anderfa01,Fast Ball,Anderson
andeg001,110236,anderga01,Garret,Anderson
andeg002,681982,andergr01,Grant,Anderson
andeg101,110234,andergo01,Goat,Anderson
andeg102,110237,anderge01,George,Anderson
andeh101,110240,anderha02,Harry,Anderson
andeh102,110239,anderha01,Hal,Anderson
andei001,666120,anderia01,Ian,Anderson
andej001,110241,anderji01,Jim,Anderson
andej002,150247,anderji02,Jimmy,Anderson
andej003,425427,anderja01,Jason,Anderson
andej004,461811,anderjo03,Josh,Anderson
andej005,605121,anderju01,Justin,Anderson
andej101,110244,anderjo01,John,Anderson
andej102,110242,anderjo02,John,Anderson
andek001,110246,anderke01,Kent,Anderson
andel001,110224,anderla02,Larry,Andersen
andel002,502249,anderla03,Lars,Anderson
andel101,110247,anderla01,Larry,Anderson
andel102,820708,anderle01,Lewis,Anderson
andem001,110249,andermi02,Mike,Anderson
andem002,150183,anderma01,Matt,Anderson
andem003,136724,anderma02,Marlon,Anderson
andem101,110248,andermi01,Mike,Anderson
anden001,623433,anderni01,Nick,Anderson
andeo101,820703,anderor01,Orinthal,Anderson
andeo901,,,Ollie,Anderson
ander001,110251,anderri02,Rick,Anderson
ander101,110252,anderri01,Rick,Anderson
ander102,110228,anderre01,Red,Anderson
ander103,820707,anderro01,Roland,Anderson
andes001,110254,andersc01,Scott,Anderson
andes002,641312,andersh01,Shaun,Anderson
andes101,110238,andersp01,Sparky,Anderson
andet001,641313,anderti01,Tim,Anderson
andet002,542881,anderty01,Tyler,Anderson
andet003,664196,anderta01,Tanner,Anderson
andev101,110255,anderva01,Varney,Anderson
andew101,110258,anderwi01,Wingo,Anderson
andew102,110256,anderwa01,Walter,Anderson
andir001,435180,andinro01,Robert,Andino
andrb101,110276,andrubi01,Bill,Andrus
andrb801,427004,,Brad,Andress
andrb901,,,Bill,Andress
andrc001,150467,andrecl01,Clayton,Andrews
andrc002,677076,andrecl02,Clayton,Andrews
andrc101,820699,andrecu01,Curley,Andrews
andre001,462101,andruel01,Elvis,Andrus
andre101,110265,andreed01,Ed,Andrews
andre102,110263,andreel01,Elbert,Andrews
andre103,110260,andreer01,Ernie,Andres
andrf101,110264,andrefr01,Fred,Andrews
andrf102,110275,andrufr01,Fred,Andrus
andrh101,110266,andrehu01,Hub,Andrews
andri101,110267,andreiv01,Ivy,Andrews
andrj001,607430,andrejo03,John,Andreoli
andrj101,110269,andrejo02,John,Andrews
andrj102,110259,andrejo01,John,André
andrj103,110268,andreji01,Jim,Andrews
andrj104,820700,andreja01,Jabbo,Andrews
andrj801,429725,,Jeff,Andrews
andrk101,110261,andreki01,Kim,Andrew
andrm001,542882,andrima01,Matt,Andriese
