bbref_id,retro_id,mlbam_id,name_first,name_last
stromma01,strom001,573186,Marcus,Stroman
stulter01,stule002,445590,Eric,Stults
suareal01,suara001,544150,Albert,Suárez
suarean01,suara002,605498,Andrew,Suárez
suarera01,suarr001,624133,Ranger,Suarez
suganto01,sugat001,608372,Tomoyuki,Sugano
suppaje01,suppj001,122987,Jeff,Suppan
syndeno01,syndn001,592789,Noah,Syndergaard
taillja01,tailj001,592791,Jameson,Taillon
talbomi01,talbm001,452676,Mitch,Talbot
tallebr01,tallb001,425226,Brian,Tallet
tanakma01,tanam001,547888,Masahiro,Tanaka
teherju01,tehej001,527054,Julio,Teherán
tepesni01,tepen001,519344,Nick,Tepesch
thorntr01,thort002,663423,Trent,Thornton
tillmch01,tillc001,501957,Chris,Tillman
tomlijo01,tomlj001,458708,Josh,Tomlin
turnbsp01,turns003,605513,Spencer,Turnbull
urenajo01,urenj001,570632,José,Ureña
uriasju01,uriaj001,628711,Julio,Urías
urquijo01,urquj001,664353,José,Urquidy
valdefr01,valdf001,664285,Framber,Valdez
vargaja01,vargj001,450306,Jason,Vargas
vasqura02,vasqr001,681190,Randy,Vásquez
vazquja01,vazqj001,134320,Javier,Vázquez
velasvi01,velav001,592826,Vince,Velasquez
ventuyo01,venty001,570649,Yordano,Ventura
verlaju01,verlj001,434378,Justin,Verlander
villaca01,villc001,453646,Carlos,Villanueva
vogelry01,voger001,285064,Ryan,Vogelsong
volqued01,volqe001,450172,Edinson,Vólquez
volstch01,volsc001,458690,Chris,Volstad
wachami01,wachm001,608379,Michael,Wacha
wainwad01,waina001,425794,Adam,Wainwright
wakefti01,waket001,123801,Tim,Wakefield
waldike01,waldk003,686610,Ken,Waldichuk
waldrma01,waldm003,663362,Matt,Waldron
walketa01,walkt004,592836,Taijuan,Walker
warread01,warra001,476589,Adam,Warren
warrewi01,warrw001,701542,Will,Warren
washbja01,washj001,132220,Jarrod,Washburn
weaveje02,weavj003,450308,Jered,Weaver
weavelu01,weavl001,596133,Luke,Weaver
webblo01,webbl001,657277,Logan,Webb
wellsra01,wellr001,448694,Randy,Wells
westbja01,westj001,150414,Jake,Westbrook
wheelza01,wheez001,554430,Zack,Wheeler
williga01,willg004,668909,Gavin,Williams
willije01,willj003,425532,Jerome,Williams
willitr01,willt002,592866,Trevor,Williams
wilsocj01,wilsc004,450351,C. J.,Wilson
wislema01,wislm001,605538,Matt,Wisler
wolfra02,wolfr001,150116,Randy,Wolf
woobr01,woo-b001,693433,Bryan,Woo
woodal02,wooda002,622072,Alex,Wood
woodrbr01,woodb005,605540,Brandon,Woodruff
woodssi01,woods002,680573,Simeon,Woods Richardson
woodtr01,woodt004,475243,Travis,Wood
worleva01,worlv001,474699,Vance,Worley
wrighky01,wrigk001,657140,Kyle,Wright
wrighst01,wrigs001,453214,Steven,Wright
yamamyo01,yamay001,808967,Yoshinobu,Yamamoto
yarbrry01,yarbr001,642232,Ryan,Yarbrough
youngch03,younc003,432934,Chris,Young
zambrca01,zambc001,407296,Carlos,Zambrano
zimmejo02,zimmj003,519455,Jordan,Zimmermann
zitoba01,zitob001,217096,Barry,Zito
