Rk,Season,Team,TD,G,W,L,T,W-L%,Pts,PtsO,PtDif,TD,XPA,XPM,XP%,FGA,FGM,FG%,2PM,Sfty
186,2010,Stanford,68,13,12,1,0,.923,524,226,298,68,66,61,92.4,19,17,89.5,2,0
187,2009,Texas,68,14,13,1,0,.929,550,234,316,68,67,66,98.5,27,24,88.9,1,1
188,2007,West Virginia,68,13,11,2,0,.846,515,235,280,68,67,66,98.5,19,13,68.4,0,1
189,2006,Boise State,68,13,13,0,0,1.000,516,229,287,68,63,61,96.8,14,13,92.9,4,0
190,2003,USC,68,13,12,1,0,.923,534,239,295,68,67,65,97.0,24,19,79.2,0,2
191,2025,South Florida,67,13,9,4,0,.692,526,304,222,67,63,62,98.4,24,18,75.0,2,2
192,2025,Texas Tech,67,14,12,2,0,.857,552,165,387,67,61,58,95.1,34,28,82.4,4,0
193,2023,Memphis,67,13,10,3,0,.769,512,374,138,67,63,61,96.8,18,13,72.2,2,0
194,2022,Alabama,67,13,11,2,0,.846,534,236,298,67,64,64,100.0,26,22,84.6,1,0
195,2021,Tennessee,67,13,7,6,0,.538,511,378,133,67,67,67,100.0,16,12,75.0,0,3
196,2021,Utah,67,14,10,4,0,.714,506,316,190,67,63,62,98.4,18,12,66.7,1,1
197,2020,Clemson,67,12,10,2,0,.833,522,242,280,67,65,64,98.5,23,18,78.3,0,1
198,2019,Oregon,67,14,12,2,0,.857,495,231,264,67,66,64,97.0,14,9,64.3,1,0
199,2018,Georgia,67,14,11,3,0,.786,530,269,261,67,65,65,100.0,23,19,82.6,0,0
200,2018,Ohio,67,13,9,4,0,.692,521,320,201,67,68,68,100.0,17,13,76.5,0,0
